advanced cardiovascular systems,advancedcardio
air liquide,airliquide
akzo,akzonobel
akzo nobel,akzonobel
alco chemical,alcochem
alk abello,alkabello
amer,america
american cayanamide,cyanamide
american cyanamide,cyanamide
archer daniels midland,adm
archerdanielsmidland,adm
asahi kasei,asahikasei
asgrow seed,asgrowseed
assn,association
astra,astrazeneca
astra zeneca,astrazeneca
aventis,sanofiaventis
b f goodrich,bfgoodrich
bausch lomb,bauschlomb
beiersdorflilly,beiersdorf
bio prdcts,bioproducts
bio sciences,biosciences
bio tech,biotech
biopharma,biopharmaceutical
boehringer ingelheim,boehringeringelheim
boston sci,bostonsci
boston scientific,bostonsci
bp chemicals,bpchem
byk gulden,bykgulden
carl zeiss,carlzeiss
chesebroughponds,conopco
cnsmr,consumer
coca cola, cocacola
colgate palmolive,colgatepalmolive
conocco phillips,conocophillips
cosnulting,consulting
ctr,center
dept,department
dev,development
devmnt,development
diamond shamrock,diamondshamrock
digital equipment,dec
dow pharma,dowpharma
dow pharmaceuticals,dowpharma
dstrbtn,distribution
du pont,dupont
eastman chem,eastmanchem
eastman chemical,eastmanchem
elf aquitaine,elfaquitaine
eli lillly,lilly
eli lily,lilly
elililly,lilly
estee lauder,esteelauder
euro celtique,euroceltique
exxonmobile, exxonmobil
farma,pharma
formosa plastics,formosaplastics
fuji film,fujifilm
general electric,ge
general foods,generalfoods
general mills,generalmills
genetic,genetics
godecke,goedecke
grp, group
grunenthal,gruenenthal
hayundai,hyundai
helene curtis,helenecurtis
hewlett packard,hp
hewlett-packard,hp
hewlettpackard,hp
hi-tec,hitech
hi-tech,hitech
hitec,hitech
hlthcare,healthcare
imperial chem industries,ici
imperial chemical industries,ici
inaternational,international
incorported,incorporated
ind, industry
inst,institute
international business machines,ibm
international tecnidyne,internationaltecnidyne
int, international
intl,international
intuitive surgical,intuitivesurgical
isis innovation,isisinnovation
johnson johnson,johnsonjohnson
kimberly clark,kimberlyclark
l oreal,loreal
labortary,laboratory
lilliy,lilly
lockheed martin,lockheedmartin
lyondell basell,lyondellbasell
mary kay,marykay
massachusetts institute of technology,mit
matsushita electric industrial,panasonic
mcdonnell douglas,mcdonnelldouglas
merrill lynch,merrilllynch
micrbiology,microbiology
micron technology,micron
minnesota mining manufacturing,3m
mitsubishi chemical,mitsubishichem
molecular probes,molecularprobes
nippon oil,nipponoil
nitto denko,nittodenko
northrop grumman,northropgrumman
novo nordisk,novonordisk
ntwrk,network
of roc,of republic of china
orionyhtyma,orion
orthmcneil,ortho
ortho mcneil,ortho
ortho mcneilpharmaceutical,ortho
orthomcneil,ortho
owenscorning,corning
perkin elmer,perkinelmer
phamaceutica,pharmaceutical
pharaceutica,pharmaceutical
pharm,pharmaceutical
pharma,pharmaceutical
pharmacal,pharmaceutical
pharmaceuticals,pharmaceutical
pharmceuticals,pharmaceutical
pharmeuticals,pharmaceutical
pharmingen,pharmaceutical
philip morris,philipmorris
phillips petroleum,phillipspetroleum
phrmctcl,pharmaceuticals
phrmctcls,pharmaceuticals
pioneer hi bred,pioneerhibred
pioneer hibred,pioneerhibred
procter gamble,proctergamble
prod,products
prods,products
purina mills,purinamills
radio corporation of america,rca
rhone poulenc,rhonepoulenc
rio tinto,riotinto
roussel uclaf,rousseluclaf
rsrch,research
resrch, research
sanofi,sanofiaventis
sanofi aventis,sanofiaventis
schering plough,scheringplough
scie,sciences
science,sciences
serv,services
sherwin williams,sherwinwilliams
shin etsu,shinetsu
sri international,sriinternational
st jude medical,stjudemedical
st microelectronics,stmicroelectronics
standard oil,standardoil
stine seed,stineseed
sun micro,sunmicrosystems
sun microsystems,sunmicrosystems
svc,services
svcs,services
sys,systems
syste,systems
systs,systems
tech,technologies
technologi,technologies
technology,technologies
therapeutic,therapeutics
thermo fisher scientific,thermofisherscientific
tr,trust
unilever,conopco
union carbide,unioncarbide
uniroyal chemical,uniroyalchem
united technologies,unitedtechnologies
w r grace,grace
wacker chemie,wackerchemie
warner lambert,warnerlambert
welch allyn,welchallyn
western digital,westerndigital
weyer haeuser,weyerhaeuser
zeneca,astrazeneca
